question,subject
"Suppose you have 12 pearls, all appearing the same but with one having an odd weight. You do not know whether the odd pearl is heavier or lighter. How many weighings are needed to find the odd pearl?",problem solving techniques
"There are two piles of chips. The piles may or may not have the same number of chips. There are two players.  A legal move is either
To remove any number of chips from one pile, or
To remove an equal number of chips from each pile.
The player who removes the last chip from the table wins. Give two examples of winning and losing positions.",problem solving techniques
"2 people at the opposite end of the road. Both started at the same time to walk at different constant speed. At first cross they crossed at 720m from RHS end. They reached to next end rested for 10 minutes and again started walking, now they crosses at 400m from LHS end. Now find the length of the road.",problem solving techniques
"A 10 years old child puts $100 in the bank. She intended to withdraw the money on her 21th birthday. Which one scheme is better for her:
An account with 5% interest compounded daily, or
An account with 5.1% interest compounded weekly?",problem solving techniques
"Write short notes on: (Any two) Tower of Honai, Explain the use of geometry in computer field, Mathematical induction",problem solving techniques
"“Java is Interpreted, High Performance Dynamic, Secure, Robust” Explain the statement. Also explain how java supports multiple platforms.",Programming in Java
How are class declared in Java? Illustrate with example.,Programming in Java
Define Inheritance and Interface. How do you design and use Inheritance and Interface.,Programming in Java
Write a java class to demonstrate method overloading. Define a sum() method which takes two parameters and displays the sum. The sum() method should be overloaded to accept a  combination of integer and double type numbers.,Programming in Java
What are exceptions? Write a program to read a string from the console and display it in the console.,Programming in Java
What is an applet? Display a welcome message in applet window.,Programming in Java
How can we load and play audio files in an applet. Explain with an example.,Programming in Java
What is the difference between Swing and AWT? In what way is swing richer than AWT?,Programming in Java
What is multicasting? Write a sample program which will demonstrate the importance of multicasting in Java.,Programming in Java
Define Frame and J Frame. How can you make a frame resizable? Explain it with example.,Programming in Java
"Write a program using the graphics shapes, create an applet with a happy smiley face of yellow color.",Programming in Java
Explain the method drawPolygon(). Make a Square using this method.,Programming in Java
Describe about the different access protection mechanisms used in Java.,Programming in Java
"Write short notes on any two: Zip File Stream, Advance Event Handling, Packages",Programming in Java
Explain briefly the relationship between rainfall duration and time of concentration for maximum discharge of storm water.,sanitary engineering done
For a domestic sewage having BOD5 of 300 mg/l at 200c. Calculate BOD1 at 150c. Assuming k as 0.18 per day at 200c,sanitary engineering done
Describe the Nitrogen cycle of decomposition with diagram.,sanitary engineering done
Design a septic tank for a colony having 200 Population. Assume probable peak discharge of 432 l/min and cleaning period of 2 years.,sanitary engineering done
"With oxygen sag curve, describe briefly about self purification process of flowing water bodies.",sanitary engineering done
State the benefits of using oxidation and mention its design procedure to treat the waste water.,sanitary engineering done
"In a 3.5m deep and 70m long continuous flow settling tank, the sewage flow velocity is 1.2 cm/sec. What size of particles with specific gravity 2.65 may get removed effectively? Consider 15°C temperature and kinematic viscosity of fluid as 0.012 cm2/sec",sanitary engineering done
Which method of sludge treatment do you prefer in your locality? Justify your answer.,sanitary engineering done
Illustrate the decomposition processes of organic matters. What is the effect of the temperature on decomposition process?,sanitary engineering done
"Design the diameter of sewer in separate system running half full at maximum discharge for a town with population of 30,000. The sewer is to be laid at a slope of 1 in 200 Manning’s coefficient of rugosity for sewer is 0.013 80% supplied water is to be converted to sanitary sewage.",sanitary engineering done
Compare between water- carriage and conservancy methods of sanitation with their merits and demerits,sanitary engineering done
"Write short notes on: (Any two) Sanitary landfill, Flushing devices, Determination of storm water discharge, Self cleansing velocity",sanitary engineering done
Derive the expression for inverse Chebyshev low pass filter from Chebyshev low pass filter and hence compare them.,signal system and processing done
Explain the limit cycle oscillation effect in second order filter.,signal system and processing done
Design a digital low-pass Butterworth filter using Bilinear Transformation method to meet the following specifications Passband edge frequency = 1.25 KHz Stopband edge frequency = 2.75 KHz Pass band ripple  0.5 db Stop band attenuation   15 db Sampling frequency = 10 KHz,signal system and processing done
How FIR filters can be designed by window method? Discuss about the rectangular window.,signal system and processing done
Define LTI system. Mention and explain the properties of LTI system.,signal system and processing done
Explain the IIR filter design by bilinear transformation method? Discuss about the advantages of this method over impulse invariance methods.,signal system and processing done
"Compute the DFT of the given sequence using DITFFT algorithm: x[n] = {1, 1, 0, 1, 0, 0, 1}",signal system and processing done
"Write short notes on: (Any two) Finite Precision Implementation of Discrete Filters, Energy and Power signal, Gibb’s Phenomenon in FIR Filter design, Bilinear Transformation",signal system and processing done
Define Continuous-time and discrete-time signals. Briefly explain different types of signals.,Signal  System
The following figure shows the sawtooth waveform. Find the Fourier series for this waveform. Also plot the magnitude and phase spectrum of the signal.,Signal  System
"Prove that, when two Fourier transforms are multiplied in frequency domain, then they are transformed into the convolution of their individual signal in discrete-time domain.",Signal  System
"Calculate the Continuous Time Fourier Transform (CTFT) of the following signal 
Plot Magnitude and Phase spectrum",Signal  System
Define Autocorrelation. State & prove Parseval's theorem.,Signal  System
"Find DFT of the sequence x[n] = {1, 4, 2, 1, 1}.",Signal  System
"Define impulse response of the system. Find the response of the system for the input singal, x(t) = t, for 0≤t≤3 and impulse response of the system, h(t) = u(t) – u(t-4).",Signal  System
Determine the system function for the casual LTI system with difference equation. y(n)-1 y(n-1) + 1 y(n-2) = x(n) Implement using Direct form II structure,Signal  System
Explain system response in frequency domain and derive the condition for distortion less transmission.,Signal  System
An LTI system is characterized by difference equation:  draw canonical structure of the system. Why IIR system cannot be realized using convolution sum?,Signal  System
"Write short notes on any two: Application of FFT Ideal, Low pass filter, Importance of Fourier Transform in the field of communication",Signal  System
"Explain and compare the Validation, Verification and Calibration of model with diagram.",Simulation and Modeling
What do you mean by simulation? Explain the steps of simulation study using flow chart.,Simulation and Modeling
What is CSSMP (Continuous System Modeling Program)III?,Simulation and Modeling
Describe the three general types of statements that use CSMP III with an example,Simulation and Modeling
What do you mean by delayed call? Explain delayed call system.,Simulation and Modeling
Differentiate between fixed time and next time advance mechanism.,Simulation and Modeling
Explain the mathematical modeling of replication of runs for analysis of simulation output.,Simulation and Modeling
What is initial bias? Discuss the approach of eliminating of initial bias.,Simulation and Modeling
What is SIMSCRIPT? Explain SIMCRIPT program orientation?,Simulation and Modeling
Differentiate facilities and storages in detail. Draw a block diagram of a simple manufacturing shop model having more than one inspector.,Simulation and Modeling
Explain various desirable features of simulation software.,Simulation and Modeling
"Write short notes on any two: Feedback Systems, Utilization & occupancy, Estimation Methods",Simulation and Modeling
What is a software process model? Explain Incremental Model with diagram,software engineering fundamentals
Why do we measure software? State the types of estimation model. Explain COCOMO II model in detail.,software engineering fundamentals
What is FTR? Why is it important? What are the guideline for conducting FTR?,software engineering fundamentals
Why Software Configuration Management(SCM) is needed? Explain SCM tasks or activities.,software engineering fundamentals
Explain Cardinality and Modality with example. What is the need and uses of data dictionary?,software engineering fundamentals
"What is the importance of software design? Explain Modularity, Control Hierarchy, and Information Hiding in design concept.",software engineering fundamentals
What is verification and validation in testing? Explain integration testing.,software engineering fundamentals
What do mean by object oriented paradigm? Explain three important characteristics of object oriented system.,software engineering fundamentals
"What is object oriented Analysis and Design? Explain class, object, methods and services with example.",software engineering fundamentals
Describe transformation from OOA model too OOD model.,software engineering fundamentals
"Write short notes on: (Any two) Software Requirements Specification, Date Modelling, Control flow Graph",software engineering fundamentals
Derive the relations stresses developed on plane inclined at an angle with horizontal in terms of major and minor principal stresses acting on any particular soil sample.,Soil  Mechanics
"The sand deposit in the field has an angle of shearing resistance of 320, dry density of 16.5kN/m3, moist unit weight of 19kN/m3 and saturated unit weight 21 kN/m3. The water table is 1.6m below G.L. The sand is dry up to 1 m depth and moist between 1m and 1.6m depth. What is the shearing resisting on sand on a horizontal plane at 3.0m depth below G.L.",Soil  Mechanics
Describe the method to obtain the coefficient of permeability of soil in an unconfined aquifer.,Soil  Mechanics
"The plan of a three-legged tower forms an equilateral triangle of side 6m. If the total weight of the tower is 8000 kN and equally carried by all the legs, compute the vertical stress increase in the soil by the tower at a depth of 4.5 m directly below the centre of equilateral triangle.",Soil  Mechanics
Explain Terzaghi's spring analogy model for the process of consolidation.,Soil  Mechanics
What do you mean by Phreatic line ?Describe the construction procedure of phreatic line in an earthen dam with neat sketch.,Soil  Mechanics
What precautions should you take to maintain proper compaction in the field during compaction? Describe relative compaction.,Soil  Mechanics
"A 10meter thick bed of sand is underlain by a layer of clay 6.5m thickness. The water table which was originally at the ground surface is lowered by drainage to a depth of 4.2m. Where the degree of saturation above the lowered water table reduces to 50%. Determine the increase in magnitude of effective vertical pressure at the mid of clay layer due to lowering of water table. The γsat of sand is 20.6, γsat for clay = 17.6 & γd of sand 16.7 KN/m3",Soil  Mechanics
A natural soil deposit has a bulk unit weight of 16 kN/m3 and water content of 11%. Determine the amount of water required to be added to 1 m3 of soil to raise the water content to 18%. Assume void ratio to remain constant.,Soil  Mechanics
What are the modes of  failure of slopes? Explain about the stability analysis of finite slope by slice method in case of cohesive soil.,Soil  Mechanics
"Write short notes on any two: Types of clay minerals, Modified AASHTO, Atterberg's Limits",Soil  Mechanics
Determine the magnitude and angle of F1 so that particle P is in equilibrium,statics and dynamics done
"The cylinder at A has a weight of 20 lb, determine the weight of B and the force in each cord needed to hold the system in the equilibrium position shown.",statics and dynamics done
The coefficient of friction are µs = 0.40 and µk = 0.3 between all surface of contacts. Determine the smallest force P required to start the 30 kg block moving if cable AB is attached as shown.,statics and dynamics done
Compute Moment of Inertia about x-axis of the  area shown.,statics and dynamics done
"A ski jumper starts with a horizontal take off velocity of 25m/s and lands on straight landing hill inclined at 30º. Determine the time between takeoff and landing, the length of the jump, Maximum height attained by ski jumper from Landing hill",statics and dynamics done
"The acceleration of a package sliding down section AB of incline ABCD is 5m/s2. Assuming that the coefficient of kinetic friction is the same for each section, determine the acceleration of the package on section BC and CD of the incline.",statics and dynamics done
"A ball is projected onto the heavy plate with a velocity of 16 m/s at the 300 angle as shown. If the effective coefficient of restitution is 0.5, compute the rebound velocity v' and its angle θ', and also find maximum height and maximum distance travelled by ball after rebound.",statics and dynamics done
If the hoisting gear A has an initial angular velocity 8 rad/sec clockwise and an angular acceleration 1.5 rad/sec2 anticlockwise.  Determine the velocity and acceleration of block C in 2 sec.,statics and dynamics done
"Write short notes on: (Any two) Free body Diagram (FBD) and its application in Engineering field, Transmissibility of forece, Rotational and General plane motion of Rigid body.",statics and dynamics done
Determine the magnitude and orientation of principal stress and maximum shearing stress. And Draw neat resulting figure.,strength of materials done
"A circular bar tapers uniformly from diameter d1 at one end to d2 at other end in length ‘L’, Find expression for the change in length of the bar when subjected to axial force ‘P’.",strength of materials done
"For a plane area as shown in figure, Determine: i) Principal moment of inertias and their directions, ii) Show principal values in Mohr’s circle and draw principal axes over the figure.",strength of materials done
A Solid shaft transmits 550 KW power at 120 RPM. Determine the diameter of the shaft if the shear stress is not to exceed 80 N/mm2 and the twist in a length of 2.5m should not exceed 1.3°. The modulus of rigidity as 9X104 N/mm2,strength of materials done
A steel column of 6m long and both end fixed having x-section as shown in fig. determine crippling load and safe load if factor of safety is 2.5 take E = 2x105N/mm2 . If the same column is used as beam give your opinion for changes in analysis.,strength of materials done
"A cylindrical shell 3.5m long 500mm diameter with metal thickness 10mm is completely filled with fuel gas at atmospheric pressure. If additional 3x105 mm3 fuel is then pumped find stress developed and change in dimension. Take, E= 2.1x105 Mpa and 1/m= 0.3",strength of materials done
"Draw axial force diagram, shear force diagram and bending moment of the following frame and locate the salient points.",strength of materials done
A ‘T’ beam made by two wooden planks of x-section 150x50 mm was simply supported at ends having UDL over its whole span. If the beam is 8m long find the UDL? Maximum permissible bending stress in tension is limited to 35 MN/m2 and in compression to 45 MN/m2. What is the actual maximum bending stress set up in the section?,strength of materials done
"Write short notes on ( any two) State internal/external static in eleterminancy of structure, Flexure equation, Modulus of elasticity, sheer modulus and bulk modulus, Complementary sheer",strength of materials done
Compare and contrast between DFA and NFA with the help of suitable example.,theory of computation
Define Regular Expressions.Convert the following NDFA into its equivalent DFA.,theory of computation
"How do you identify the finiteness, emptiness and membership of a Context Free Grammar (CFG), Explain.",theory of computation
"Write the CFG that generates:  L = {w | the length of w is odd}, L = {w | w is the balanced parenthesis}",theory of computation
Why we need to prefer PDA instead of F.A? Explain PDA with its tuples and moves.,theory of computation
State and prove pumping lemma for CFL.,theory of computation
Explain decision algorithms for CFL’s,theory of computation
"What do you mean by Turing Machines? Explain the statement giving     example ""Turing Machines are functionally stronger than Push Down Automata.""",theory of computation
What do you mean by recursive and recursively enumerable language? Give some properties of recursively enumerable language.,theory of computation
Explain the two computational complexities for judging the efficiency of the program.,theory of computation
What are tractable and intractable problem? Explain the NP complete problems with suitable examples.,theory of computation
"Write short notes on: (Any two) Ambiguity removal in CFG, Church’s hypothesis, Universal Turing machines.",theory of computation
"Define System and Types of systems. Also define Thermodynamics property, its aspects and Types",thermal science
"To a closed system 150KJ of work is supplied. If the volume is 0.6 M3 and pressure of the system changes as P+8-4V, where P is in bar and V is in M3. Determine the final Volume and Pressure of the System.",thermal science
Derive an equation for entropy change of an ideal gas.,thermal science
"5 kg of H2O are contained in a closed rigid tank at an initial pressure of 2000 kPa and quality of 50%. Heat transfer occurs until the tank contains only saturated vapour. Determine the volume of the tank, in m3, and final pressure",thermal science
Define specific heat. Why gas has two specific heat? Derive the relationship between these two specific heat.,thermal science
"A compressor in a plant receives air at 100 kPa, 280 K, with low velocity. At compressor discharge, air exits at 1100 kPa, 500 K with velocity 25 m/s and then flows into a constant pressure heat exchanger where it is cooled down to 350 K. The power required the compressor is 50 kW. Determine the heat transfer rate in the heat exchanger.",thermal science
What is thermodynamic irreversibility? Explain the factors causing irreversibility.,thermal science
State both the statements of Second law of Thermodynamics with Schematic representation.,thermal science
A reversible heat engine operate between two reservoirs at temperature of 600°C and 40°C. The engine drives a reversible refrigerator which Operates between reservoirs at a temperature of 40°C and -20°C. The heat transfer to the heat engine is 2000KJ and the net work out put of the combined engine refrigerator plant is 260 KJ. Evaluate the heat transfer to the refrigerator and the net heat transfer to the refrigerator at 40°C.,thermal science
What are the difference between Otto cycle and Diesel cycle?,thermal science
"In an air standard Diesel Cycle, the Compression ratio is 16 and at the beginning of isentropic Compression, the temperature is 150C and the Pressure is 0.1 Mpa, heat is added until the temperature at the end of the constant pressure process is 14800C. Calculate (a) the Cut-Off ratio, (b) the heat supplied per kg of air, (c) the Cycle efficiency.",thermal science
What is the mechanism of convective mode of heat transfer? Explain about the free and forced convection.,thermal science
"A Furnace wall is made up of three layers of thickness 250 mm, 100 mm and 150 mm with thermal conductivities of 1.65,k and 9.2 W/m°C respectively. The inside is exposed to gases at 1250°C with a Convection coefficient of 25 W/M2°C and the inside surface is at 1100°C, the outside surface is exposed air at 25°C with Convection coefficient of 12 W/M2°C.
Calculate: The unknown thermal Conductivity ‘k’ The Overall heat transfer Coefficient All surface temperature (t1, t2, t3, t4)",thermal science
"A thick wallet tube of stainless steel (k+10 W/M°C) with 2 cm inside diameter and 4 cm outer diameter is covered with a 3 cm layers of  asbestos insulation (K= 0.2 W/M°C), if the inside wall temperature of  the pipe is maintained at 600ₒC, Calculate the heat loss per meter of length, Also calculate the tube – insulation interface temperature. Draw the Coresponding diagram. Ambient temperature is 2°C.",thermal science
"Write short notes on: (Any two) Vapour compression refrigeration cycle, Radiation, Reynolds Number, Vapour power cycle",thermal science
What are plain and geodetic surveying? Explain the principles of surveying.,surveying
"Write the uses of abney level. Draw plain, diagonal and vernier scale.",surveying
"A 30m steel tape standardized at a temperature of 200C and a pull of 150N was used to measure a base line, the measured distance being 810m. Throughout the measurement the tape was used in catenary for each tape length. Find the correct length of the base line if the temperature during measurement was 250C and the pull applied was 100N. Density of steel is 0.077N/cm3 and weight of the tape was 7.85N. Take E=2.10x105N/mm2 and α =12x10-6 per 0C",surveying
"What are the obstacles in chain survey and how to overcome those obstacles, explain briefly.",surveying
Show how can you record the field data in chain surveying and explain how can you prepare a map using linear measurements only.,surveying
Explain clearly the method of three point problem in plane tabling.,surveying
"What are fore and back bearings, quadrantal and whole circle bearings, explain with sketches.",surveying
The followings bearings were obtained in the closed traverse. At what stations local attraction is suspected? Find the corrected bearings of the traverse and also the interior angles of the traverse.,surveying
What is two-peg test? Explain why it is done in leveling.,surveying
"The followings staff readings were observed successfully with the level, the instrument having been moved forward after the third, sixth and eighth readings: 2.228, 1.606, 0.988, 2.090, 2.864, 1.262, 0.602, 1.982, 1.044, 2.684 meters. Enter the above readings in a page of a level book and calculate the R.L. of points if the first reading was taken with a staff held on a benchmark of 1105.581m.",surveying
"What are temporary adjustments in theodolite survey, explain briefly.",surveying
"Write short notes on any two of the following: Difference between Prismatic and Surveyor’s Compass, Methods of errors adjustments in plane table surveying.",surveying
The ’Unified Process is Architecture-centric’. Support your answer with  suitable reasons.,USDP
What is architecture?  How it is obtained? Why we need architecture?,USDP
Define architecture  description. What are the things we consider carefully during architecture description?,USDP
Why Iterative and Incremental Developmental. Justify.,USDP
How iterations challenge the organization?,USDP
Briefly explain the four P’s of the software development process.,USDP
What are supplementary requirements? How domain model is used to understand the system context.,USDP
Explain the different artifacts participating in implementation model?,USDP
Why we adapt of the Use-Case model in the system development process?,USDP
Explain the workflow of testing model?,USDP
Describe role of design in software life cycle.,USDP
How do we trace the models from analysis to design?,USDP
Describe the role of implementation in software life cycle,USDP
"Write short notes on: (Any two) Requirement Capture, Why analysis is not design or implementation, Iterations over the life cycle",USDP
"Define the terms gross, technical and economic potential. Evaluate the theoretical and actual   hydropower potential if discharge Q cumecs  passes between two section of a river  having  elevation difference of H meters.",Water  Resources  Engineering II
Check whether a stilling basin is required for maximum discharge of 25m3/s flowing from an over fall spillway with the spillway crest 50 m above the downstream river bed,Water  Resources  Engineering II
"Check whether further excavation for a stilling basin is required below a dam discharging  210m3/s  flows through a spillway crest located 50m above the downstream river bed having the  width as 52m, bed slope as 0.001 and manning’s rugosity coffecient as 0.0026.",Water  Resources  Engineering II
Explain with diagram why a restricted orifice surge tank is ore efficient than a simple surge tank.,Water  Resources  Engineering II
Check whether a stilling basin is required for maximum discharge of 25m3/s flowing from an over fall spillway with the spillway crest 50 m above the downstream river bed,Water  Resources  Engineering II
"Determine the dynamic head due to water hammer if the steel pipe of length 500 m, carrying 10 m3/s discharge of water, is of 6.5 m diameter. The time of closure of valve is 2 sec and velocity of wave is 1200 m/s",Water  Resources  Engineering II
Why Micro hydropower in context of Nepal should be encouraged in present scenario? Explain,Water  Resources  Engineering II
Describe the various considerations to be taken for the design of good sub surface intake structure,Water  Resources  Engineering II
Design a shaft spillway (crown radius) with coefficient of discharge 0.75 for safe passing of flood discharge 1000 m3/s. consider the approach velocity and static head over the  crest of spillway as 1.2 m/s and 3.0m respectively,Water  Resources  Engineering II
"Design a pelton wheel turbine for the hydropower plant and also find its specific speed which has the net head of 315m and discharge 2m3/s. Take coefficient of velocity(Cv)=0.98, overall efficiency as 85% and frequency of electricity as 50 Hz",Water  Resources  Engineering II
What is draft tube? Show that the absolute pressure below the runner of a reactive turbine is lesser than atmospheric pressure.,Water  Resources  Engineering II
"Write short notes on any Two: Pumped storage, Foundation treatment, sediment control in reservoir",Water  Resources  Engineering II
Explain the History and status of irrigation development in Nepal.,Water  Resources Engineering I
"The irrigation project in Terai region has a CCA of 8000 ha and ETC is 150 mm/day, effective rainfall is 30 mm/month and the overall efficiency of the project is 30%. Calculate the irrigation demand for the project",Water  Resources Engineering I
Explain the techniques of water distribution in field,Water  Resources Engineering I
"Draw neat sketches of cross sections of a canal in partial cutting, partial filling and balanced mode showing all features. Derive the expression for balanced mode",Water  Resources Engineering I
"Design an irrigation channel by Kennedy’s theory to carry the discharge of 12 cumecs. Take n=0.025, C.V.R=1, and bed slope is 1 in 4000",Water  Resources Engineering I
How the bed loads is controlled at head works? Write the function of head regulator and cross regulator.,Water  Resources Engineering I
What do you mean by water logging? What are the ill effects of water logging and preventive measures of water logging?,Water  Resources Engineering I
"Determine the uplift pressure at the top , bottom and inner/outer top edge of the u/s and  d/s pile as shown in figure. Also calculate the exit gradient.",Water  Resources Engineering I
Explain the specific characteristics of a hill irrigation system (His).,Water  Resources Engineering I
"Write short notes on any two: Reasons and consequences of poor irrigation management, Components of Headworks, Operation and Maintenance of Irrigation system",Water  Resources Engineering I
Write down the factors controlling the pavement design.,transportation engineering IIdone
Explain the method for calculation of cumulative number of standard axle for the design of flexible pavement.,transportation engineering IIdone
Explain the critical locations of wheel loading for rigid pavement. Describe the stress due to the temperature on rigid pavement.,transportation engineering IIdone
"Define the radius of relative stiffness. Compute the  radius of relative stiffness of 15 cm thick cement slab from the following data: Modulus of elasticity of cement concrete= 2,10,000kg/cm2,  Poisson’s ratio for concrete= 0.13 and Modulus of sub-grade reaction, K= 7.5 kg/cm3",transportation engineering IIdone
"List out the tools, equipments and plants for the execution of different activities of highway construction.",transportation engineering IIdone
"Describe the construction procedure of Water Bound Macadam roads including the requirements on materials, construction steps, plants and equipment and test for quality control?",transportation engineering IIdone
Mention the typical failures in flexible pavement with neat sketches?,transportation engineering IIdone
Describe the methods of strengthening of pavement. Explain the use of Benkelman Beam for the pavement evaluation.,transportation engineering IIdone
"The 15 minutes traffic counts on cross road M and N during peak hours observed as 200 and 150 vehicles per lane respectively, approaching the intersection in the direction of heavier traffic flow. If the amber time required is 3 and 2 seconds, respectively. Design the signal timing by trial cycle method with phase diagram. Assume any other data as per requirement.",transportation engineering IIdone
What are the main factors which cause the road accidents and preventive measures which will help for the reduction of road accidents in Nepal?,transportation engineering IIdone
What is traffic volume study? Discuss its objectives and methods of counting traffic volume and methods of data presentation.,transportation engineering IIdone
Explain the objectives of O & D study. What are the methods of O & D study? How is the O& D data presented?,transportation engineering IIdone
What are the basic conflicting movements at an intersection? Draw the complete flow diagram of full clover leaf type intersection.,transportation engineering IIdone
How dust and drainage is controlled in tunnel?  Explain the methods of tunneling in hard ground.,transportation engineering IIdone
"Write short notes on: (Any two) Ideal site location of bridge, Channelized Intersection, Street lighting design considerations, Mud Pumping",transportation engineering IIdone
Differentiate between surface and underground sources of water from quantitative and qualitative point of view with suitable examples.,water supply engineering done
Describe major components of a rural water supply scheme with neat    sketch.,water supply engineering done
Discuss significance of the WHO guidelines for drinking water quality.,water supply engineering done
In a continuous flow sedimentation tank 2.8 m deep and 24 m long what flow velocity of water would you recommend for effective removal of 0.020 mm sized particles at 250C? The specific gravity of particles is 2.65 and kinematic viscosity for water is 0.01cm2/s,water supply engineering done
Enlist various disinfection methods for water treatment. Describe briefly the most suitable one in your locality with justifications.,water supply engineering done
Differentiate between slow sand filter and rapid sand filter with merits and demerits.,water supply engineering done
What are major reasons for constructing Ferro-cement tanks in rural water supply schemes? How is it constructed?,water supply engineering done
"If you are requested to conduct engineering survey for Pre-feasibility study of a water supply scheme, how will you conduct it? State with flow diagram.",water supply engineering done
Write down the procedure of determining dissolved oxygen of water sample in lab by titration method.,water supply engineering done
"Write short notes on: (Any two) Fire hydrant, Infiltration galleries, Duties of water supply engineer, Pipe joints and their type",water supply engineering done
"Define DNS? Explain about different protocols HTTP, POP, SMTP, FTP and their uses.",Web Technology
What does the web has impact on today’s technology? How does client communication with server?,Web Technology
Write an HTML code to generate the following table with form elements.,Web Technology
What are the main purpose of form and frame? Explain.,Web Technology
Define CSS properties with suitable examples,Web Technology
Why do we need client side scripting language? Write a program to display the following table in JavaScript,Web Technology
"Write a program in JavaScript to validate a form. Form includes, Email. Password & Submit button. While clicking on submit button validate following: Blank Validation for Email & Password  Email Validation",Web Technology
Difference between XML and HTML. What do know about XSLT? Explain.,Web Technology
"How can you move the element, change the colour and font of the text, drag and drop the element using JavaScript? Give suitable example.",Web Technology
What are the main uses of PHP in web programming? Explain different kinds  of array in PHP.,Web Technology
How you connect PHP with MySQL?? Write a PHP code that retrieve all the districts from database in table format,Web Technology
Describe AJAX. What are the main purposes of Cryptography? Explain in detail.,Web Technology
Why Perl is appropriate language for CGI? Explain about common gateway interface.,Web Technology
"Write short notes on any two: Cookies and sessions in php, Using Class & ID in CSS, File handling in PHP",Web Technology
Define aggregate. Explain about the well graded and gap graded aggregates. How can you determine the fineness modulus of aggregates? Explain with suitable examles.,Concrete Technology done
Define the term “Bulking of Sand”. Explain the labrarotory method for determining the curshing strength of an aggregate.,Concrete Technology done
Classified the aggregate according to their gradation. Enlist the physical and mechanical properties of an aggregate.,Concrete Technology done
What is the chemical composition of ordinary Portland cement? Explain with necessary chemical equation. Explain any three types of cement used in construction industry.,Concrete Technology done
Define the term “Water Cement Ratio.” What are the functions of admixtures in concrete construction?,Concrete Technology done
Explain about purpose and the quality of water used in concrete construction.,Concrete Technology done
What are the causes for the corrosion of steel in concrete? How it can be controlled. Explain,Concrete Technology done
What do you mean by workability of concrete? Enlist the factors that affect the workability of concrete. What are the methods for determining the workability of concrete? Explain any one of them.,Concrete Technology done
Define the term “Degregation of Concrete”. Explain the process of manufacture of concrete?,Concrete Technology done
List out the steps by step procedure in the design of concrete mix by the ACI mix design methods.,Concrete Technology done
What are the tests for determining the compressive strength of concrete? Explain the procedure for cube test of concrete.,Concrete Technology done
How segregation and bleeding of concrete can be controlled. What are the methods for concreting and curing of concrete in hot climatic condition.,Concrete Technology done
Explain the stress- strain diagram of Concrete with different types of elastic moduli,Concrete Technology done
"Write short notes on any two: Samples for checking Strength of concrete, Shortcrete and Fibre reinforced  Concrete, Direct tensile strength test of concrete.",Concrete Technology done
Draw shear force and bending moment diagram of given simply supported beam,Applied Mechanics I- Spring 2013
"By direct integration method, find centroid of the shown shaded area with respect to given axes.",Applied Mechanics I- Spring 2013
Determine the moment of inertia of the given section about centroidal axes.,Applied Mechanics I- Spring 2013
Two masses m1 = 240 N and m2 = 150 N are tied together by a rope parallel to the incline plane surface as shown in figure. If μs for m1 is 0.3 and that for m2 is 0.55 find (a) value of θ for which masses will just start slipping (b) tension in the rope.,Applied Mechanics I- Spring 2013
A 1.5m×2.4m sign board of uniform density weighs 1500N and is supported by the ball and socket joint at A and by two cables. Determine the tension in each cable and the reaction at A.,Applied Mechanics I- Spring 2013
"A mixing drum of 150mm outside radius rests on two casters each of 30mm radius. The drum executed 20 revolutions during the time interval t, while its angular velocity is being increased uniformly from 25 to 55 rpm. Knowing that no slipping occurs between the drum and casters determine: (a) Angular acceleration of the casters (b) Time interval t.",Applied Mechanics I- Spring 2013
Derive the expression for the determination of tangential and normal component of velocity and acceleration of a particle.,Applied Mechanics I- Spring 2013
Two blocks A and B as shown in figure starts from rest. The coefficient of friction between horizontal plane and block A is μk=0.25 and pully is assumed to be of negligible mass. Determine acceleration of each block and tension in each cord.,Applied Mechanics I- Spring 2013
"The two blocks are released from rest when r=0.9m and θ=350. Neglecting the mass of the pulley & the effect of friction in the pulley and between block  A and the horizontal surface, determine the initial tension in the cable, the initial acceleration of block A and the initial acceleration of block B.",Applied Mechanics I- Spring 2013
Describe about the conservation linear and angular momentum.,Applied Mechanics I- Spring 2013
"Write short notes on (Any Two): Rectiliner motion, Coordinate system, Principle of transmissibility",Applied Mechanics I- Spring 2013
What are the causes of harmonics in the emf waveforms of synchronous generators and what means are adopted to minimise them?,Advance Electrical Machine
Write different methods of starting of a synchronous motor. Explain one of them in brief.,Advance Electrical Machine
Explain and show how the synchronous motor can be operated in wide range of power factor.,Advance Electrical Machine
Describe the principle of operation of a 3-phase induction motor. Explain why the rotor is forced to rotate in the direction of rotating magnetic field. Also discuss the difference between 3-phase induction motors and transformers.,Advance Electrical Machine
What are the different methods of starting of 3 phase induction motor. Explain the star delta starting method with necessary diagram.,Advance Electrical Machine
Explain why the single phase induction motor is not self starting with the help of Torque slip charter sties.,Advance Electrical Machine
Prove that a single phase AC supply creates rotating magnetic field in two directions and describe how this can create a net magnetic field rotating on one direction.,Advance Electrical Machine
Derive an equation for temperature rise in electrical machine and explain the heating curve.,Advance Electrical Machine
Explain the ‘V’ and inverted ‘V’ curve in synchronous motor.,Advance Electrical Machine
"Write short notes on: (Any two) Draw the power flow diagram in three phase induction machine, ii) How is blocked rotor test equivalent to short circuit test in transformers? Methods of cooling in electrical machines, Double cage induction machines",Advance Electrical Machine
